"Occupancy","Time"
"1000","2.375"
"1001","2.375"
"1002","2.375"
"1003","2.375"
"1004","2.375"
"1005","2.375"
"1006","2.375"
"1007","2.375"
"1008","2.375"
"1009","2.375"
"1010","2.375"
"1011","2.375"
"1012","2.375"
"1013","2.375"
"1014","2.375"
"1015","2.375"
"1016","2.375"
"1017","2.375"
"1018","2.375"
"1019","2.375"
"1020","2.375"
"1021","2.375"
"1022","2.375"
"1023","2.375"
"1024","2.375"
"1025","2.375"
"1026","2.375"
"1027","2.375"
"1028","2.375"
"1029","2.375"
"1030","2.375"
"1031","2.375"
"1032","2.375"
"1033","2.375"
"1034","2.375"
"1035","2.375"
"1036","2.375"
"1037","2.375"
"1038","2.375"
"1039","2.375"
"1040","2.375"
"1041","2.375"
"1042","2.375"
"1043","2.375"
"1044","2.375"
"1045","2.375"
"1046","2.375"
"1047","2.375"
"1048","2.375"
"1049","2.375"
"1050","2.375"
"1051","2.375"
"1052","2.375"
"1053","2.375"
"1054","2.375"
"1055","2.375"
"1056","2.375"
"1057","2.375"
"1058","2.375"
"1059","2.375"
"1060","2.375"
"1061","2.375"
"1062","2.375"
"1063","2.375"
"1064","2.375"
"1065","2.375"
"1066","2.375"
"1067","2.375"
"1068","2.375"
"1069","2.375"
"1070","2.375"
"1071","2.375"
"1072","2.375"
"1073","2.375"
"1074","2.375"
"1075","2.375"
"1076","2.375"
"1077","2.375"
"1078","2.375"
"1079","2.375"
"1080","2.375"
"1081","2.375"
"1082","2.375"
"1083","2.375"
"1084","2.375"
"1085","2.375"
"1086","2.375"
"1087","2.375"
"1088","2.375"
"1089","2.375"
"1090","2.375"
"1091","2.375"
"1092","2.375"
"1093","2.375"
"1094","2.375"
"1095","2.375"
"1096","2.375"
"1097","2.375"
"1098","2.375"
"1099","2.375"
"1100","2.375"
"1101","2.375"
"1102","2.375"
"1103","2.375"
"1104","2.375"
"1105","2.375"
"1106","2.375"
"1107","2.375"
"1108","2.375"
"1109","2.375"
"1110","2.375"
"1111","2.375"
"1112","2.375"
"1113","2.375"
"1114","2.375"
"1115","2.375"
"1116","2.375"
"1117","2.375"
"1118","2.375"
"1119","2.375"
"1120","2.375"
"1121","2.375"
"1122","2.375"
"1123","2.375"
"1124","2.375"
"1125","2.375"
"1126","2.375"
"1127","2.375"
"1128","2.375"
"1129","2.375"
"1130","2.375"
"1131","2.375"
"1132","2.375"
"1133","2.375"
"1134","2.375"
"1135","2.375"
"1136","2.375"
"1137","2.375"
"1138","2.375"
"1139","2.375"
"1140","2.375"
"1141","2.375"
"1142","2.375"
"1143","2.375"
"1144","2.375"
"1145","2.375"
"1146","2.375"
"1147","2.375"
"1148","2.375"
"1149","2.375"
"1150","2.375"
"1151","2.375"
"1152","2.375"
"1153","2.375"
"1154","2.375"
"1155","2.375"
"1156","2.375"
"1157","2.375"
"1158","2.375"
"1159","2.375"
"1160","2.375"
"1161","2.375"
"1162","2.375"
"1163","2.375"
"1164","2.375"
"1165","2.375"
"1166","2.375"
"1167","2.375"
"1168","2.375"
"1169","2.375"
"1170","2.375"
"1171","2.375"
"1172","2.375"
"1173","2.375"
"1174","2.375"
"1175","2.375"
"1176","2.375"
"1177","2.375"
"1178","2.375"
"1179","2.375"
"1180","2.375"
"1181","2.375"
"1182","2.375"
"1183","2.375"
"1184","2.375"
"1185","2.375"
"1186","2.375"
"1187","2.375"
"1188","2.375"
"1189","2.375"
"1190","2.375"
"1191","2.375"
"1192","2.375"
"1193","2.375"
"1194","2.375"
"1195","2.375"
"1196","2.375"
"1197","2.375"
"1198","2.375"
"1199","2.375"
"1200","2.375"
"1201","2.375"
"1202","2.375"
"1203","2.375"
"1204","2.375"
"1205","2.375"
"1206","2.375"
"1207","2.375"
"1208","2.375"
"1209","2.375"
"1210","2.375"
"1211","2.375"
"1212","2.375"
"1213","2.375"
"1214","2.375"
"1215","2.375"
"1216","2.375"
"1217","2.375"
"1218","2.375"
"1219","2.375"
"1220","2.375"
"1221","2.375"
"1222","2.375"
"1223","2.375"
"1224","2.375"
"1225","2.375"
"1226","2.375"
"1227","2.375"
"1228","2.375"
"1229","2.375"
"1230","2.375"
"1231","2.375"
"1232","2.375"
"1233","2.375"
"1234","2.375"
"1235","2.375"
"1236","2.375"
"1237","2.375"
"1238","2.375"
"1239","2.375"
"1240","2.375"
"1241","2.375"
"1242","2.375"
"1243","2.375"
"1244","2.375"
"1245","2.375"
"1246","2.375"
"1247","2.375"
"1248","2.375"
"1249","2.375"
"1250","2.375"
"1251","2.375"
"1252","2.375"
"1253","2.375"
"1254","2.375"
"1255","2.375"
"1256","2.375"
"1257","2.375"
"1258","2.375"
"1259","2.375"
"1260","2.375"
"1261","2.375"
"1262","2.375"
"1263","2.375"
"1264","2.375"
"1265","2.375"
"1266","2.375"
"1267","2.375"
"1268","2.375"
"1269","2.375"
"1270","2.375"
"1271","2.375"
"1272","2.375"
"1273","2.375"
"1274","2.375"
"1275","2.375"
"1276","2.375"
"1277","2.375"
"1278","2.375"
"1279","2.375"
"1280","2.375"
"1281","2.375"
"1282","2.375"
"1283","2.375"
"1284","2.375"
"1285","2.375"
"1286","2.375"
"1287","2.375"
"1288","2.375"
"1289","2.375"
"1290","2.375"
"1291","2.375"
"1292","2.375"
"1293","2.375"
"1294","2.375"
"1295","2.375"
"1296","2.375"
"1297","2.375"
"1298","2.375"
"1299","2.375"
"1300","2.375"
"1301","2.375"
"1302","2.375"
"1303","2.375"
"1304","2.375"
"1305","2.375"
"1306","2.375"
"1307","2.375"
"1308","2.375"
"1309","2.375"
"1310","2.375"
"1311","2.375"
"1312","2.375"
"1313","2.375"
"1314","2.375"
"1315","2.375"
"1316","2.375"
"1317","2.375"
"1318","2.375"
"1319","2.375"
"1320","2.375"
"1321","2.375"
"1322","2.375"
"1323","2.375"
"1324","2.375"
"1325","2.375"
"1326","2.375"
"1327","2.375"
"1328","2.375"
"1329","2.375"
"1330","2.375"
"1331","2.375"
"1332","2.375"
"1333","2.375"
"1334","2.375"
"1335","2.375"
"1336","2.375"
"1337","2.375"
"1338","2.375"
"1339","2.375"
"1340","2.375"
"1341","2.375"
"1342","2.375"
"1343","2.375"
"1344","2.375"
"1345","2.375"
"1346","2.375"
"1347","2.375"
"1348","2.375"
"1349","2.375"
"1350","2.375"
"1351","2.375"
"1352","2.375"
"1353","2.375"
"1354","2.375"
"1355","2.375"
"1356","2.375"
"1357","2.375"
"1358","2.375"
"1359","2.375"
"1360","2.375"
"1361","2.375"
"1362","2.375"
"1363","2.375"
"1364","2.375"
"1365","2.375"
"1366","2.375"
"1367","2.375"
"1368","2.375"
"1369","2.375"
"1370","2.375"
"1371","2.375"
"1372","2.375"
"1373","2.375"
"1374","2.375"
"1375","2.375"
"1376","2.375"
"1377","2.375"
"1378","2.375"
"1379","2.375"
"1380","2.375"
"1381","2.375"
"1382","2.375"
"1383","2.375"
"1384","2.375"
"1385","2.375"
"1386","2.375"
"1387","2.375"
"1388","2.375"
"1389","2.375"
"1390","2.375"
"1391","2.375"
"1392","2.375"
"1393","2.375"
"1394","2.375"
"1395","2.375"
"1396","2.375"
"1397","2.375"
"1398","2.375"
"1399","2.375"
"1400","2.375"
"1401","2.375"
"1402","2.375"
"1403","2.375"
"1404","2.375"
"1405","2.375"
"1406","2.375"
"1407","2.375"
"1408","2.375"
"1409","2.375"
"1410","2.375"
"1411","2.375"
"1412","2.375"
"1413","2.375"
"1414","2.375"
"1415","2.375"
"1416","2.375"
"1417","2.375"
"1418","2.375"
"1419","2.375"
"1420","2.375"
"1421","2.375"
"1422","2.375"
"1423","2.375"
"1424","2.375"
"1425","2.375"
"1426","2.375"
"1427","2.375"
"1428","2.375"
"1429","2.375"
"1430","2.375"
"1431","2.375"
"1432","2.375"
"1433","2.375"
"1434","2.375"
"1435","2.375"
"1436","2.375"
"1437","2.375"
"1438","2.375"
"1439","2.375"
"1440","2.375"
"1441","2.375"
"1442","2.375"
"1443","2.375"
"1444","2.375"
"1445","2.375"
"1446","2.375"
"1447","2.375"
"1448","2.375"
"1449","2.375"
"1450","2.375"
"1451","2.375"
"1452","2.375"
"1453","2.375"
"1454","2.375"
"1455","2.375"
"1456","2.375"
"1457","2.375"
"1458","2.375"
"1459","2.375"
"1460","2.375"
"1461","2.375"
"1462","2.375"
"1463","2.375"
"1464","2.375"
"1465","2.375"
"1466","2.375"
"1467","2.375"
"1468","2.375"
"1469","2.375"
"1470","2.375"
"1471","2.375"
"1472","2.375"
"1473","2.375"
"1474","2.375"
"1475","2.375"
"1476","2.375"
"1477","2.375"
"1478","2.375"
"1479","2.375"
"1480","2.375"
"1481","2.375"
"1482","2.375"
"1483","2.375"
"1484","2.375"
"1485","2.375"
"1486","2.375"
"1487","2.375"
"1488","2.375"
"1489","2.375"
"1490","2.375"
"1491","2.375"
"1492","2.375"
"1493","2.375"
"1494","2.375"
"1495","2.375"
"1496","2.375"
"1497","2.375"
"1498","2.375"
"1499","2.375"
"1500","2.375"
"1501","2.375"
"1502","2.375"
"1503","2.375"
"1504","2.375"
"1505","2.375"
"1506","2.375"
"1507","2.375"
"1508","2.375"
"1509","2.375"
"1510","2.375"
"1511","2.375"
"1512","2.375"
"1513","2.375"
"1514","2.375"
"1515","2.375"
"1516","2.375"
"1517","2.375"
"1518","2.375"
"1519","2.375"
"1520","2.375"
"1521","2.375"
"1522","2.375"
"1523","2.375"
"1524","2.375"
"1525","2.375"
"1526","2.375"
"1527","2.375"
"1528","2.375"
"1529","2.375"
"1530","2.375"
"1531","2.375"
"1532","2.375"
"1533","2.375"
"1534","2.375"
"1535","2.375"
"1536","2.375"
"1537","2.375"
"1538","2.375"
"1539","2.375"
"1540","2.375"
"1541","2.375"
"1542","2.375"
"1543","2.375"
"1544","2.375"
"1545","2.375"
"1546","2.375"
"1547","2.375"
"1548","2.375"
"1549","2.375"
"1550","2.375"
"1551","2.375"
"1552","2.375"
"1553","2.375"
"1554","2.375"
"1555","2.375"
"1556","2.375"
"1557","2.375"
"1558","2.375"
"1559","2.375"
"1560","2.375"
"1561","2.375"
"1562","2.375"
"1563","2.375"
"1564","2.375"
"1565","2.375"
"1566","2.375"
"1567","2.375"
"1568","2.375"
"1569","2.375"
"1570","2.375"
"1571","2.375"
"1572","2.375"
"1573","2.375"
"1574","2.375"
"1575","2.375"
"1576","2.375"
"1577","2.375"
"1578","2.375"
"1579","2.375"
"1580","2.375"
"1581","2.375"
"1582","2.375"
"1583","2.375"
"1584","2.375"
"1585","2.375"
"1586","2.375"
"1587","2.375"
"1588","2.375"
"1589","2.375"
"1590","2.375"
"1591","2.375"
"1592","2.375"
"1593","2.375"
"1594","2.375"
"1595","2.375"
"1596","2.375"
"1597","2.375"
"1598","2.375"
"1599","2.375"
"1600","2.375"
"1601","2.375"
"1602","2.375"
"1603","2.375"
"1604","2.375"
"1605","2.375"
"1606","2.375"
"1607","2.375"
"1608","2.375"
"1609","2.375"
"1610","2.375"
"1611","2.375"
"1612","2.375"
"1613","2.375"
"1614","2.375"
"1615","2.375"
"1616","2.375"
"1617","2.375"
"1618","2.375"
"1619","2.375"
"1620","2.375"
"1621","2.375"
"1622","2.375"
"1623","2.375"
"1624","2.375"
"1625","2.375"
"1626","2.375"
"1627","2.375"
"1628","2.375"
"1629","2.375"
"1630","2.375"
"1631","2.375"
"1632","2.375"
"1633","2.375"
"1634","2.375"
"1635","2.375"
"1636","2.375"
"1637","2.375"
"1638","2.375"
"1639","2.375"
"1640","2.375"
"1641","2.375"
"1642","2.375"
"1643","2.375"
"1644","2.375"
"1645","2.375"
"1646","2.375"
"1647","2.375"
"1648","2.375"
"1649","2.375"
"1650","2.375"
"1651","2.375"
"1652","2.375"
"1653","2.375"
"1654","2.375"
"1655","2.375"
